msisdn,first name,last name,country,email,language 1,language 2,balance,boolean,age,device id,location insight,digital persona,demographic,larned behaviour,analytical scores,digital engagement,event-number,event-text,event-date(ddMMyy),event-quantity,event-value,usage metric value,usage metric date,usage metric value2,usage metric date2,Date Time,Date
919922730133,fsfkcd,apljha,USA,fsfkcd@gmail.com,English,Urdu,23,Yes,48,4444,4,17,24,37,48,234,17,dfg,120918,24,37,48,120918,48,100918,18/12/2018 10:22:55,17122018
919922730134,pnkzsz,smwtfq,USA,pnkzsz@gmail.com,Hindi,Mandarin,138,No,24,5555,8,17,28,37,44,235,17,g,120918,28,37,24,120918,24,100918,18/12/2018 10:22:55,17122018
919922730135,soggyo,ymqnra,Korea,soggyo@gmail.com,Korean,Spanish,120,No,42,5555,7,14,27,38,45,237,14,dfg,120918,27,38,42,120918,42,100918,18/12/2018 10:22:55,17122018
919922730136,gwthpv,kbzvrv,USA,gwthpv@gmail.com,Hindi,Spanish,273,No,45,5555,8,17,28,37,44,237,17,g,120918,28,37,45,120918,45,100918,18/12/2018 10:22:55,17122018
919922730137,rylyol,icegwl,India,rylyol@gmail.com,Korean,Mandarin,92,No,46,5555,7,15,27,35,45,235,15,ijioni,120918,27,35,46,120918,46,100918,18/12/2018 10:22:55,17122018
919922730138,pkmqap,ogwgpb,India,pkmqap@gmail.com,Hindi,Urdu,102,Yes,24,4444,8,15,28,35,44,234,15,okjj,120918,28,35,24,120918,24,100918,18/12/2018 10:22:55,17122018
919922730139,quqdlb,gcivib,Korea,quqdlb@gmail.com,Malayalam,Tamil,120,Yes,30,4444,5,14,25,38,47,238,14,fdgf,120918,25,38,30,120918,30,100918,18/12/2018 10:22:55,17122018
919922730140,sfcffj,mmvnaw,Korea,sfcffj@gmail.com,Korean,Tamil,188,Yes,21,4444,7,14,27,38,45,238,14,dfg,120918,27,38,21,120918,21,100918,18/12/2018 10:22:55,17122018
919922730141,wrfqzy,tjbtys,Pakisthan,wrfqzy@gmail.com,English,Tamil,305,No,58,5555,4,18,24,34,48,238,18,fg,120918,24,34,58,120918,58,100918,18/12/2018 10:22:55,17122018
919922730142,uhgfab,erurbg,Korea,uhgfab@gmail.com,Malayalam,Urdu,250,No,19,5555,5,14,25,38,47,234,14,dfg,120918,25,38,19,120918,19,100918,18/12/2018 10:22:55,17122018
919922730143,xzcrfc,xjcmzt,Korea,xzcrfc@gmail.com,Hindi,Urdu,194,Yes,66,4444,8,14,28,38,44,234,14,dfg,120918,28,38,66,120918,66,100918,18/12/2018 10:22:55,17122018
919922730144,wuhiuf,jcfcbx,Pakisthan,wuhiuf@gmail.com,Korean,Mandarin,257,Yes,23,4444,7,18,27,34,45,235,18,g,120918,27,34,23,120918,23,100918,18/12/2018 10:22:55,17122018
919922730145,csnpkt,zesmjd,Korea,csnpkt@gmail.com,English,Urdu,109,Yes,28,4444,4,14,24,38,48,234,14,fdgf,120918,24,38,28,120918,28,100918,18/12/2018 10:22:55,17122018
919922730146,vpbzwm,iupnun,India,vpbzwm@gmail.com,Malayalam,Mandarin,173,No,54,5555,5,15,25,35,47,235,15,fdgf,120918,25,35,54,120918,54,100918,18/12/2018 10:22:55,17122018
919922730147,mhmkbj,qatukg,USA,mhmkbj@gmail.com,Malayalam,Spanish,40,Yes,34,4444,5,17,25,37,47,237,17,dfg,120918,25,37,34,120918,34,100918,18/12/2018 10:22:55,17122018
919922730148,qhvxzl,xeaxho,Korea,qhvxzl@gmail.com,English,Mandarin,377,No,70,5555,4,14,24,38,48,235,14,gdf,120918,24,38,70,120918,70,100918,18/12/2018 10:22:55,17122018
919922730149,iudwji,pxaodg,India,iudwji@gmail.com,Hindi,Mandarin,216,No,45,5555,8,15,28,35,44,235,15,g,120918,28,35,45,120918,45,100918,18/12/2018 10:22:55,17122018
919922730150,xmivml,vcfmom,India,xmivml@gmail.com,Korean,Tamil,45,No,71,5555,7,15,27,35,45,238,15,dfg,120918,27,35,71,120918,71,100918,18/12/2018 10:22:55,17122018
919922730151,lgsavh,obbcal,USA,lgsavh@gmail.com,Malayalam,Tamil,347,Yes,34,4444,5,17,25,37,47,238,17,g,120918,25,37,34,120918,34,100918,18/12/2018 10:22:55,17122018
919922730152,gayvme,ruzhbo,Pakisthan,gayvme@gmail.com,Hindi,Tamil,338,Yes,72,4444,8,18,28,34,44,238,18,dfg,120918,28,34,72,120918,72,100918,18/12/2018 10:22:55,17122018
919922730153,hhszdg,zowdxy,USA,hhszdg@gmail.com,Malayalam,Mandarin,334,No,18,5555,5,17,25,37,47,235,17,g,120918,25,37,18,120918,18,100918,18/12/2018 10:22:55,17122018
919922730154,ttlags,lpnrfy,USA,ttlags@gmail.com,English,Urdu,342,Yes,23,4444,4,17,24,37,48,234,17,ijioni,120918,24,37,23,120918,23,100918,18/12/2018 10:22:55,17122018
919922730155,yyynzw,cgtero,USA,yyynzw@gmail.com,Malayalam,Spanish,254,Yes,50,4444,5,17,25,37,47,237,17,okjj,120918,25,37,50,120918,50,100918,18/12/2018 10:22:55,17122018
919922730156,pfcccy,swovcs,USA,pfcccy@gmail.com,Malayalam,Mandarin,346,No,45,5555,5,17,25,37,47,235,17,fdgf,120918,25,37,45,120918,45,100918,18/12/2018 10:22:55,17122018
919922730157,mpdbob,zdvvsp,India,mpdbob@gmail.com,Hindi,Tamil,60,No,56,5555,8,15,28,35,44,238,15,dfg,120918,28,35,56,120918,56,100918,18/12/2018 10:22:55,17122018
919922730158,fwuokx,dcqrrg,USA,fwuokx@gmail.com,Malayalam,Tamil,151,No,35,5555,5,17,25,37,47,238,17,fg,120918,25,37,35,120918,35,100918,18/12/2018 10:22:55,17122018
919922730159,phsrwh,iygqxe,USA,phsrwh@gmail.com,Hindi,Mandarin,137,No,45,5555,8,17,28,37,44,235,17,dfg,120918,28,37,45,120918,45,100918,18/12/2018 10:22:55,17122018
919922730160,llrovu,fijlgn,Korea,llrovu@gmail.com,Hindi,Tamil,17,No,65,5555,8,14,28,38,44,238,14,dfg,120918,28,38,65,120918,65,100918,18/12/2018 10:22:55,17122018
919922730161,eirfum,ikbndg,India,eirfum@gmail.com,English,Spanish,224,No,47,5555,4,15,24,35,48,237,15,g,120918,24,35,47,120918,70,100918,18/12/2018 10:22:55,17122018
919922730162,crunpw,ryasnp,India,crunpw@gmail.com,Hindi,Tamil,84,Yes,40,4444,8,15,28,35,44,238,15,fdgf,120918,28,35,40,120918,45,100918,18/12/2018 10:22:55,17122018
919922730163,mchmom,wazdab,Korea,mchmom@gmail.com,Korean,Urdu,163,No,66,5555,7,14,27,38,45,234,14,fdgf,120918,27,38,66,120918,71,100918,18/12/2018 10:22:55,17122018
919922730164,enymqy,plwmym,USA,enymqy@gmail.com,Malayalam,Mandarin,26,No,69,5555,5,17,25,37,47,235,17,dfg,120918,25,37,69,120918,34,100918,18/12/2018 10:22:55,17122018
919922730165,onslmo,hsasdc,Korea,onslmo@gmail.com,Malayalam,Urdu,317,No,41,5555,5,14,25,38,47,234,14,gdf,120918,25,38,41,120918,72,100918,18/12/2018 10:22:55,17122018
919922730166,tkxtsm,lkcksz,USA,tkxtsm@gmail.com,Malayalam,Urdu,206,Yes,52,4444,5,17,25,37,47,234,17,g,120918,25,37,52,120918,18,100918,18/12/2018 10:22:55,17122018
919922730167,fxhsor,ddighe,Pakisthan,fxhsor@gmail.com,Malayalam,Tamil,262,Yes,52,4444,5,18,25,34,47,238,18,dfg,120918,25,34,52,120918,23,100918,18/12/2018 10:22:55,17122018
919922730168,suefzi,setqes,USA,suefzi@gmail.com,Korean,Mandarin,298,No,68,5555,7,17,27,37,45,235,17,g,120918,27,37,68,120918,50,100918,18/12/2018 10:22:55,17122018
919922730169,kbdrxd,elagzd,Pakisthan,kbdrxd@gmail.com,English,Spanish,293,Yes,41,4444,4,18,24,34,48,237,18,dfg,120918,24,34,41,120918,45,100918,18/12/2018 10:22:55,17122018
919922730170,lvezir,vttsxq,USA,lvezir@gmail.com,English,Spanish,12,Yes,69,4444,4,17,24,37,48,237,17,g,120918,24,37,69,120918,56,100918,18/12/2018 10:22:55,17122018
919922730171,inmrtc,xqwcqj,India,inmrtc@gmail.com,Hindi,Spanish,367,Yes,19,4444,8,15,28,35,44,237,15,ijioni,120918,28,35,19,120918,35,100918,18/12/2018 10:22:55,17122018
919922730172,eqhdqe,sbcxeg,India,eqhdqe@gmail.com,English,Urdu,135,No,23,5555,4,15,24,35,48,234,15,okjj,120918,24,35,23,120918,45,100918,18/12/2018 10:22:55,17122018
919922730173,ahnmbj,jgpzsc,Korea,ahnmbj@gmail.com,Hindi,Tamil,13,No,30,5555,8,14,28,38,44,238,14,fdgf,120918,28,38,30,120918,65,100918,18/12/2018 10:22:55,17122018
919922730174,wvhckx,ghfzll,India,wvhckx@gmail.com,Malayalam,Mandarin,53,No,35,5555,5,15,25,35,47,235,15,dfg,120918,25,35,35,120918,64,100918,18/12/2018 10:22:55,17122018
919922730175,mlgvhz,anecsm,Korea,mlgvhz@gmail.com,Korean,Urdu,235,No,34,5555,7,14,27,38,45,234,14,fg,120918,27,38,34,120918,26,100918,18/12/2018 10:22:55,17122018
919922730176,vglmja,hpwunw,Korea,vglmja@gmail.com,Malayalam,Spanish,121,No,19,5555,5,14,25,38,47,237,14,dfg,120918,25,38,19,120918,19,100918,18/12/2018 10:22:55,17122018
919922730177,pqvvyu,gxdmbt,USA,pqvvyu@gmail.com,Korean,Tamil,348,Yes,26,4444,7,17,27,37,45,238,17,dfg,120918,27,37,26,120918,26,100918,18/12/2018 10:22:55,17122018
919922730178,mvgptj,iwaagz,Pakisthan,mvgptj@gmail.com,Korean,Tamil,35,No,20,5555,7,18,27,34,45,238,18,g,120918,27,34,20,120918,20,100918,18/12/2018 10:22:55,17122018
919922730179,ecjifs,srumqn,Korea,ecjifs@gmail.com,Korean,Spanish,106,No,18,5555,7,14,27,38,45,237,14,fdgf,120918,27,38,18,120918,18,100918,18/12/2018 10:22:55,17122018
919922730180,pxyfer,iecyhd,Pakisthan,pxyfer@gmail.com,Malayalam,Tamil,252,Yes,27,4444,5,18,25,34,47,238,18,fdgf,120918,25,34,27,120918,27,100918,18/12/2018 10:22:55,17122018
919922730181,ltwxqv,dnalek,Pakisthan,ltwxqv@gmail.com,Korean,Spanish,91,Yes,62,4444,7,18,27,34,45,237,18,dfg,120918,27,34,62,120918,62,100918,18/12/2018 10:22:55,17122018
919922730182,izevjs,oiondl,India,izevjs@gmail.com,Malayalam,Mandarin,321,Yes,44,4444,5,15,25,35,47,235,15,gdf,120918,25,35,44,120918,44,100918,18/12/2018 10:22:55,17122018
919922730183,uhxjqu,rzowse,Pakisthan,uhxjqu@gmail.com,Hindi,Urdu,47,No,45,5555,8,18,28,34,44,234,18,g,120918,28,34,45,120918,45,100918,18/12/2018 10:22:55,17122018
919922730184,dwxdmv,zcahsc,Pakisthan,dwxdmv@gmail.com,Korean,Tamil,44,No,52,5555,7,18,27,34,45,238,18,dfg,120918,27,34,52,120918,52,100918,18/12/2018 10:22:55,17122018
919922730185,kninkd,isagcb,USA,kninkd@gmail.com,Korean,Tamil,214,Yes,42,4444,7,17,27,37,45,238,17,g,120918,27,37,42,120918,47,100918,18/12/2018 10:22:55,17122018
919922730186,uetqrh,xlkdgy,India,uetqrh@gmail.com,Malayalam,Urdu,333,Yes,26,4444,5,15,25,35,47,234,15,dfg,120918,25,35,26,120918,40,100918,18/12/2018 10:22:55,17122018
919922730187,vrlcml,zckemp,Korea,vrlcml@gmail.com,Hindi,Urdu,126,No,34,5555,8,14,28,38,44,234,14,g,120918,28,38,34,120918,66,100918,18/12/2018 10:22:55,17122018
919922730188,kgtydo,vkswps,Korea,kgtydo@gmail.com,Malayalam,Tamil,167,No,67,5555,5,14,25,38,47,238,14,ijioni,120918,25,38,67,120918,69,100918,18/12/2018 10:22:55,17122018
919922730189,flzrkk,cdoyqj,Korea,flzrkk@gmail.com,Korean,Mandarin,377,Yes,72,4444,7,14,27,38,45,235,14,okjj,120918,27,38,72,120918,41,100918,18/12/2018 10:22:55,17122018
919922730190,fafakj,elxfdu,India,fafakj@gmail.com,Malayalam,Tamil,86,No,51,5555,5,15,25,35,47,238,15,fdgf,120918,25,35,51,120918,52,100918,18/12/2018 10:22:55,17122018
919922730191,qpbiaq,vqrjeo,USA,qpbiaq@gmail.com,Malayalam,Tamil,332,No,37,5555,5,17,25,37,47,238,17,dfg,120918,25,37,37,120918,52,100918,18/12/2018 10:22:55,17122018
919922730192,dgjjrz,mgehzz,USA,dgjjrz@gmail.com,Korean,Tamil,174,Yes,19,4444,7,17,27,37,45,238,17,fg,120918,27,37,19,120918,68,100918,18/12/2018 10:22:55,17122018
919922730193,zamnet,depdvg,Pakisthan,zamnet@gmail.com,Korean,Mandarin,99,No,35,5555,7,18,27,34,45,235,18,dfg,120918,27,34,35,120918,41,100918,18/12/2018 10:22:55,17122018
919922730194,tanaou,qryubg,Pakisthan,tanaou@gmail.com,Malayalam,Urdu,222,No,44,5555,5,18,25,34,47,234,18,dfg,120918,25,34,44,120918,69,100918,18/12/2018 10:22:55,17122018
919922730195,ufbqri,bznams,Pakisthan,ufbqri@gmail.com,Malayalam,Tamil,2,Yes,45,4444,5,18,25,34,47,238,18,g,120918,25,34,45,120918,19,100918,18/12/2018 10:22:55,17122018
919922730196,jasptm,pybtfa,USA,jasptm@gmail.com,Hindi,Urdu,227,No,73,5555,8,17,28,37,44,234,17,fdgf,120918,28,37,73,120918,23,100918,18/12/2018 10:22:55,17122018
919922730197,bstcxd,pvekwt,USA,bstcxd@gmail.com,Malayalam,Spanish,54,Yes,29,4444,5,17,25,37,47,237,17,fdgf,120918,25,37,29,120918,30,100918,18/12/2018 10:22:55,17122018
919446506807,joel,jose,India,joel.jose@flytxt.com,Malayalam,English,200,Yes,25,6666,5,15,25,35,45,235,15,dfg,120918,25,35,25,120918,35,100918,18/12/2018 10:22:55,17122018
919446506808,joel1,jose1,India,joel.kallely95@gmail.com,Malayalam,English,201,No,26,6666,5,15,25,35,45,235,15,gdf,120918,25,35,26,120918,34,100918,18/12/2018 10:22:55,17122018
919446506809,selenium,flytxt,India,selenium.flytxt@gmail.com,Malayalam,English,150,No,28,6666,5,15,25,35,45,235,15,g,120918,25,35,28,120918,50,100918,18/12/2018 10:22:55,17122018
919922730002,nqqldq,aqgxih,Pakisthan,nqqldq@gmail.com,Malayalam,Mandarin,24,Yes,37,4444,5,18,25,34,47,235,18,ijioni,120918,25,34,37,120918,50,100918,18/12/2018 10:22:55,17122018
919922730003,mpgixt,afrqtw,USA,mpgixt@gmail.com,Malayalam,Tamil,13,Yes,48,4444,5,17,25,37,47,238,17,okjj,120918,25,37,48,120918,45,100918,18/12/2018 10:22:55,17122018
919922730004,byqixm,poqnkc,Pakisthan,byqixm@gmail.com,English,Urdu,141,No,41,5555,4,18,24,34,48,234,18,fdgf,120918,24,34,41,120918,56,100918,18/12/2018 10:22:55,17122018
